County,rentalrates_peracre,NASS_data
Becker,97,111
Clay,135,141
Clearwater,NA,38
Kittson,NA,75
Mahnomen,82,110
Marshall,67,90
Norman,127,110
Pennington,64,65
Polk,99,125
Red Lake,58,65
Roseau,NA,54
Beltrami,NA,40
Cass,NA,35
Hubbard,NA,25
Itasca,NA,NA
Koochiching,NA,NA
Lake of Woods,NA,33
Big Stone,137,163
Chippewa,199,190
Douglas,119,129
Grant,193,168
Lac Qui Parle,167,170
Otter Tail,110,106
Pope,141,143
Stevens,150,164
Swift,150,174
Traverse,150,170
Wilkin,134,137
Yellow Medicine,NA,183
Benton,103,79
Carver,197,189
Kandiyohi,229,214
McLeod,209,223
Meeker,179,175
Morrison,82,77
Renville,217,219
Scott,191,198
Sherburne,NA,52
Sibley,237,226
Stearns,169,142
Todd,66,63
Wadena,NA,31
Wright,146,159
Aitkin,NA,33
Anoka,NA,57
Carlton,NA,20
Chisago,NA,69
Crow Wing,NA,37
Hennepin,NA,131
Isanti,NA,62
Kanabec,59,63
Mille Lacs,NA,76
Pine,NA,32
Washington,NA,114
Cottonwood,184,202
Jackson,195,202
Lincoln,175,171
Lyon,202,183
Murray,225,177
Nobles,191,189
Pipestone,202,180
Redwood,197,187
Rock,NA,212
Blue Earth,215,232
Brown,207,197
Faribault,209,219
Freeborn,216,217
Le Sueur,228,NA
Martin,234,NA
Nicollet,223,215
Rice,226,214
Steele,214,219
Waseca,224,216
Watonwan,215,213
Dakota,203,202
Dodge,219,207
Fillmore,200,191
Goodhue,220,250
Houston,NA,178
Mower,227,199
Olmsted,231,194
Wabasha,186,186
Winona,195,206
Minnesota,174,166
