County,CRP Regular Rental Rate,CRP Grassland Rental Rate
Aitkin,33,11
Anoka,57,32
Becker,111,17
Beltrami,40,10
Benton,79,17
Big Stone,163,21
Blue Earth,232,27
Brown,197,27
Carlton,20,5
Carver,189,31
Cass,35,7
Chippewa,190,19
Chisago,69,14
Clay,141,15
Clearwater,38,9
Cook,13,7
Cottonwood,202,32
Crow Wing,37,12
Dakota,202,34
Dodge,207,34
Douglas,129,15
Faribault,219,27
Fillmore,191,29
Freeborn,217,30
Goodhue,250,34
Grant,168,24
Hennepin,131,32
Houston,178,15
Hubbard,25,9
Isanti,62,9
Itasca,23,11
Jackson,202,31
Kanabec,63,12
Kandiyohi,214,27
Kittson,75,8
Koochiching,23,11
Lac Qui Parle,170,53
Lake,13,7
Lake Of The Woods,33,5
Le Sueur,222,25
Lincoln,171,35
Lyon,183,31
McLeod,223,31
Mahnomen,110,9
Marshall,90,22
Martin,222,38
Meeker,175,31
Mille Lacs,76,15
Morrison,77,15
Mower,199,34
Murray,177,38
Nicollet,215,27
Nobles,189,45
Norman,110,21
Olmsted,194,32
Otter Tail,106,11
Pennington,65,21
Pine,32,11
Pipestone,180,39
Polk East,125,10
Pope,143,33
Ramsey,73,32
Red Lake,65,21
Redwood,187,32
Renville,219,31
Rice,214,42
Rock,212,56
Roseau,54,11
Saint Louis North,13,7
Scott,198,31
Sherburne,52,31
Sibley,226,31
Stearns,142,28
Steele,219,35
Stevens,164,38
Swift,174,41
Todd,63,17
Traverse,170,23
Wabasha,186,23
Wadena,31,9
Waseca,216,27
Washington,114,24
Watonwan,213,27
Wilkin,137,24
Winona,206,28
Wright,159,26
Yellow Medicine,183,28
