County_resident,Region_x,area1,area2,area3,area4,Region_y,income1,income23,income4,income5,income6,income7
Anoka,Northeast,1.0,0.0,0.0,0.0,Northeast,0.0,0.5,0.5,0.0,0.0,0.0
Sherburne,Northeast,0.055555556,0.25925925899999996,0.38888888899999996,0.296296296,Northeast,0.0,0.1111111111111111,0.12962962962962962,0.2037037037037037,0.25925925925925924,0.2962962962962963
Todd,Northeast,0.28952381,0.5276190479999999,0.10666666699999999,0.053333333,Northeast,0.00952380952380949,0.21333333333333332,0.3104761904761905,0.2457142857142857,0.16,0.06095238095238095
Washington,Northeast,0.487804878,0.487804878,0.024390244,0.0,Northeast,0.024390243902439046,0.2682926829268293,0.4146341463414634,0.2926829268292683,0.0,0.0
Otter Tail,Northwest,0.172862454,0.464684015,0.213754647,0.146840149,Northwest,0.0,0.20260223048327136,0.2732342007434944,0.2379182156133829,0.20074349442379186,0.08550185873605948
Blue Earth,Southcentral,0.161538462,0.344230769,0.244230769,0.25,Southcentral,0.0,0.075,0.17884615384615385,0.2653846153846154,0.2807692307692308,0.2
Brown,Southcentral,0.09375,0.513020833,0.2890625,0.080729167,Southcentral,0.0,0.1328125,0.22135416666666666,0.1484375,0.2734375,0.22395833333333331
Carver,Southcentral,0.11,0.445,0.155,0.29,Southcentral,0.0,0.035,0.17,0.2,0.29,0.305
Faribault,Southcentral,0.10578512400000001,0.370247934,0.347107438,0.161983471,Southcentral,0.0,0.09586776859504133,0.11239669421487604,0.32892561983471075,0.315702479338843,0.14710743801652892
Freeborn,Southcentral,0.041493776,0.377593361,0.319502075,0.261410788,Southcentral,0.0,0.1037344398340249,0.12448132780082988,0.2572614107883817,0.2904564315352697,0.22406639004149376
Le Sueur,Southcentral,0.102272727,0.448051948,0.20616883100000002,0.243506494,Southcentral,0.0,0.08116883116883117,0.1948051948051948,0.224025974025974,0.28733766233766234,0.21266233766233766
Nicollet,Southcentral,0.13086419800000001,0.461728395,0.30617284,0.09876543199999999,Southcentral,0.017283950617283828,0.06419753086419754,0.2345679012345679,0.3012345679012346,0.2123456790123457,0.17037037037037034
Rice,Southcentral,0.191449814,0.351301115,0.260223048,0.197026022,Southcentral,0.0,0.12360594795539033,0.1933085501858736,0.22304832713754646,0.2304832713754647,0.2295539033457249
Sibley,Southcentral,0.130434783,0.39130434799999997,0.252964427,0.225296443,Southcentral,0.0,0.07707509881422925,0.199604743083004,0.25691699604743085,0.26679841897233203,0.199604743083004
Steele,Southcentral,0.10724637699999999,0.34202898600000003,0.252173913,0.298550725,Southcentral,1.1102230246251563e-16,0.06376811594202897,0.1681159420289855,0.23768115942028986,0.3014492753623189,0.2289855072463768
Waseca,Southcentral,0.184701493,0.33768656700000005,0.240671642,0.236940299,Southcentral,0.0,0.059701492537313425,0.1884328358208955,0.2705223880597015,0.2705223880597015,0.21082089552238809
Watonwan,Southcentral,0.086065574,0.225409836,0.344262295,0.344262295,Southcentral,0.0,0.06967213114754098,0.07377049180327869,0.1762295081967213,0.3360655737704918,0.3442622950819672
Dakota,Southeast,0.143564356,0.30693069300000003,0.32673267300000003,0.148514851,Southeast,0.0,0.1188118811881188,0.15841584158415842,0.19801980198019806,0.2227722772277228,0.301980198019802
Goodhue,Southeast,0.145971564,0.446445498,0.236966825,0.17061611399999999,Southeast,0.0,0.08720379146919431,0.15165876777251186,0.22180094786729854,0.27014218009478674,0.2691943127962085
Wabasha,Southeast,0.294117647,0.382352941,0.260504202,0.0,Southeast,0.0,0.05882352941176471,0.14285714285714285,0.2352941176470588,0.3235294117647059,0.2394957983193277
Cottonwood,Southwest,0.115079365,0.579365079,0.21825396800000002,0.05952381,Southwest,0.02777777777777779,0.03968253968253968,0.19047619047619047,0.27380952380952384,0.3690476190476191,0.0992063492063492
Jackson,Southwest,0.063636364,0.368181818,0.4,0.168181818,Southwest,0.0,0.06136363636363636,0.14545454545454545,0.3590909090909091,0.2931818181818181,0.1409090909090909
Lincoln,Southwest,0.18815331,0.31707317100000004,0.31010453,0.18466899,Southwest,0.0,0.03832752613240418,0.1254355400696864,0.27526132404181186,0.34494773519163763,0.21602787456445996
Lyon,Southwest,0.061425060999999996,0.358722359,0.34643734600000003,0.233415233,Southwest,1.1102230246251563e-16,0.056511056511056514,0.18427518427518427,0.24815724815724816,0.2923832923832924,0.21867321867321868
Martin,Southwest,0.126465145,0.33744602100000004,0.220234423,0.312769895,Southwest,0.0,0.06724244293645898,0.16224552745219,0.21591610117211602,0.2745219000616903,0.28007402837754475
Murray,Southwest,0.065292096,0.223367698,0.38144329899999996,0.28865979399999997,Southwest,0.0,0.041237113402061855,0.09278350515463918,0.24054982817869414,0.4054982817869416,0.21993127147766325
Nobles,Southwest,0.065759637,0.394557823,0.371882086,0.167800454,Southwest,0.0,0.020408163265306117,0.14965986394557826,0.30612244897959184,0.3106575963718821,0.21315192743764166
Pipestone,Southwest,0.176190476,0.32857142899999997,0.33809523799999996,0.09047619,Southwest,0.0,0.05238095238095238,0.14761904761904762,0.26666666666666666,0.2809523809523809,0.2523809523809524
Redwood,Southwest,0.055710305999999994,0.328690808,0.420612813,0.19498607199999998,Southwest,0.0,0.027855153203342614,0.15598885793871867,0.3231197771587744,0.35376044568245124,0.1392757660167131
Yellow Medicine,Southwest,0.27826087,0.295652174,0.27826087,0.139130435,Southwest,0.0,0.10434782608695653,0.25217391304347825,0.3130434782608696,0.23478260869565215,0.09565217391304348
Big Stone,Westcentral,0.042253520999999995,0.230046948,0.32394366199999997,0.403755869,Westcentral,0.0,0.03286384976525822,0.20187793427230047,0.30985915492957744,0.28169014084507044,0.17370892018779344
Chippewa,Westcentral,0.038216561,0.184713376,0.382165605,0.394904459,Westcentral,0.0,0.044585987261146494,0.10828025477707008,0.3375796178343949,0.2420382165605096,0.267515923566879
Douglas,Westcentral,0.143274854,0.38596491200000005,0.286549708,0.15789473699999998,Westcentral,0.020467836257309968,0.1111111111111111,0.23391812865497075,0.3567251461988304,0.2046783625730994,0.07309941520467836
Grant,Westcentral,0.037790698,0.186046512,0.345930233,0.42151162799999997,Westcentral,0.0,0.02906976744186046,0.13953488372093026,0.2761627906976744,0.3372093023255814,0.2180232558139535
Hennepin,Westcentral,0.538461538,0.46153846200000004,0.0,0.0,Westcentral,0.0,0.15384615384615385,0.6153846153846154,0.15384615384615385,0.07692307692307693,0.0
Kandiyohi,Westcentral,0.13636363599999998,0.295454545,0.34375,0.19602272699999998,Westcentral,0.017045454545454586,0.05397727272727273,0.13920454545454544,0.34375,0.3295454545454545,0.11647727272727272
Lac Qui Parle,Westcentral,0.22142857100000002,0.5642857139999999,0.107142857,0.071428571,Westcentral,0.0,0.028571428571428567,0.17142857142857146,0.24285714285714285,0.35714285714285715,0.2
McLeod,Westcentral,0.10755148699999999,0.375286041,0.324942792,0.19221968,Westcentral,1.1102230246251563e-16,0.06178489702517163,0.16247139588100687,0.2334096109839817,0.3340961098398169,0.20823798627002288
Meeker,Westcentral,0.21942446,0.39568345299999996,0.208633094,0.16906474800000001,Westcentral,0.0,0.13309352517985612,0.26258992805755393,0.1942446043165468,0.16906474820143885,0.2410071942446043
Pope,Westcentral,0.11428571400000001,0.314285714,0.331428571,0.18857142899999998,Westcentral,0.005714285714285783,0.09142857142857144,0.12571428571428572,0.37142857142857133,0.25142857142857145,0.15428571428571428
Renville,Westcentral,0.12580645199999999,0.21290322600000003,0.332258065,0.329032258,Westcentral,0.0,0.0967741935483871,0.08387096774193549,0.2161290322580645,0.2290322580645161,0.3741935483870968
Stevens,Westcentral,0.02970297,0.232673267,0.25990099,0.477722772,Westcentral,0.0,0.037128712871287134,0.12376237623762375,0.23514851485148516,0.2871287128712871,0.31683168316831684
Swift,Westcentral,0.09356725099999999,0.251461988,0.34502924,0.350877193,Westcentral,0.0,0.07017543859649122,0.13450292397660818,0.2690058479532164,0.2631578947368421,0.2631578947368421
Traverse,Westcentral,0.102362205,0.173228346,0.157480315,0.566929134,Westcentral,0.0,0.08661417322834647,0.07086614173228346,0.2204724409448819,0.28346456692913385,0.33858267716535434
