County,Region_y
Jackson,Southwest
Renville,Westcentral
Hennepin,Southcentral
Watonwan,Southcentral
Yellow Medicine,Southwest
Brown,Southcentral
Blue Earth,Southcentral
Cottonwood,Southwest
Todd,Northeast
Le Sueur,Southcentral
Douglas,Westcentral
Swift,Westcentral
Redwood,Southwest
Otter Tail,Northwest
Grant,Westcentral
Faribault,Southcentral
Stevens,Westcentral
Murray,Southwest
Waseca,Southcentral
Lyon,Southwest
Sibley,Southcentral
Freeborn,Southcentral
Lincoln,Southwest
Kandiyohi,Westcentral
Carver,Southcentral
Lac qui Parle,Westcentral
Traverse,Westcentral
Dakota,Southeast
Rice,Southcentral
McLeod,Westcentral
Nicollet,Southcentral
Chippewa,Westcentral
Martin,Southwest
Goodhue,Southeast
Pope,Westcentral
Meeker,Westcentral
Pipestone,Southwest
Nobles,Southwest
Wabasha,Southeast
Steele,Southcentral
Big Stone,Westcentral
Washington,Northeast
Anoka,Northeast
Sherburne,Northeast
Scott,Southcentral
Stearns,Westcentral
